# perf report -i $SCRATCH/perf_bench2.data --stdio -n --no-children --sort=symbol --dsos=nif_pool.so 2>&1 | grep -E "^\s*[0-9]+\.[0-9]+%"
# perf report -i $SCRATCH/perf_bench2.data --stdio -n --no-children --sort=symbol --dsos=beam.smp 2>&1 | grep -E "^\s*[0-9]+\.[0-9]+%"
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cpu/cycles/P'
# Event count (approx.): 147839290519
#
# Overhead       Samples  Symbol                                                                                                                                                                                  IPC   [IPC Coverage]
# ........  ............  ......................................................................................................................................................................................  ....................
#
     0.01%             2  [.] erts_proc_sig_send_nif_select                                                                                                                                                       -      -            
     0.00%             2  [.] write_sn                                                                                                                                                                            -      -            
     0.00%             2  [.] offset_stack                                                                                                                                                                        -      -            
     0.00%             2  [.] erts_driver_monitor_to_ref                                                                                                                                                          -      -            
     0.00%             1  [.] beam_load_prepare_emit                                                                                                                                                              -      -            
     0.00%             1  [.] erts_ptab_init_table                                                                                                                                                                -      -            
     0.00%             1  [.] erts_sched_finish_poke                                                                                                                                                              -      -            
     0.00%             1  [.] asmjit::v1_21::CodeHolder::add_address_to_address_table(unsigned long)                                                                                                              -      -            
     0.00%             1  [.] early_init_process_struct                                                                                                                                                           -      -            
     0.00%             1  [.] memmove@plt                                                                                                                                                                         -      -            
     0.00%             1  [.] enif_get_list_length                                                                                                                                                                -      -            
     0.00%             1  [.] asmjit::v1_21::CodeWriterUtils::write_offset(void*, long, asmjit::v1_21::OffsetFormat const&)                                                                                       -      -            
     0.00%             1  [.] BeamModuleAssembler::emit_binsearch_nodes(unsigned long, unsigned long, ArgVal const&, asmjit::v1_21::Span<ArgVal const> const&)                                                    -      -            
     0.00%             1  [.] BeamModuleAssembler::emit_is_nonempty_list_get_tl(ArgLabel const&, ArgRegister const&, ArgRegister const&)                                                                          -      -            
     0.00%             1  [.] wake_scheduler_on_empty_runq                                                                                                                                                        -      -            
     0.00%             1  [.] destroy_carrier                                                                                                                                                                     -      -            
     0.00%             1  [.] find_next_timeout                                                                                                                                                                   -      -            
     0.00%             1  [.] memset@plt                                                                                                                                                                          -      -            
     0.00%             1  [.] BeamModuleAssembler::BeamModuleAssembler(BeamGlobalAssembler*, unsigned long, int, BeamFile const*)                                                                                 -      -            
     0.00%             1  [.] erts_fun_start_staging                                                                                                                                                              -      -            
     0.00%             1  [.] cpool_link                                                                                                                                                                          -      -            
     0.00%             1  [.] print_atom_name                                                                                                                                                                     -      -            
     0.00%             1  [.] is_heavy_bif                                                                                                                                                                        -      -            
     0.00%             1  [.] create_carrier                                                                                                                                                                      -      -            
     0.00%             1  [.] memcmp@plt                                                                                                                                                                          -      -            
     0.00%             1  [.] erts_proc_lock_init                                                                                                                                                                 -      -            
     0.00%             1  [.] BeamModuleAssembler::register_metadata(beam_code_header const*)                                                                                                                     -      -            
     0.00%             1  [.] BeamModuleAssembler::emit_i_call(ArgLabel const&)                                                                                                                                   -      -            
     0.00%             1  [.] erts_ptab_processes_next                                                                                                                                                            -      -            
     0.00%             1  [.] asmjit::v1_21::CodeHolder::bind_label(asmjit::v1_21::Label const&, unsigned int, unsigned long)                                                                                     -      -            
     0.00%             1  [.] esock_monitor                                                                                                                                                                       -      -            
     0.00%             1  [.] BeamModuleAssembler::mov_arg(asmjit::v1_21::x86::Gp, ArgVal const&, asmjit::v1_21::x86::Gp const&) [clone .isra.0]                                                                  -      -            
     0.00%             1  [.] BeamModuleAssembler::emit_get_two_tuple_elements(ArgSource const&, ArgWord const&, ArgRegister const&, ArgRegister const&)                                                          -      -            
     0.00%             1  [.] erts_nif_demonitored                                                                                                                                                                -      -            
     0.00%             1  [.] resize_new_heap                                                                                                                                                                     -      -            
     0.00%             1  [.] strlen@plt                                                                                                                                                                          -      -            
     0.00%             1  [.] beamasm_emit                                                                                                                                                                        -      -            
     0.00%             1  [.] lists_append_alloc                                                                                                                                                                  -      -            
     0.00%             1  [.] erts_create_message_from_nif_env                                                                                                                                                    -      -            
     0.00%             1  [.] erts_bump_timers                                                                                                                                                                    -      -            
     0.00%             1  [.] erts_hfact_new_binary_from_data                                                                                                                                                     -      -            
     0.00%             1  [.] ethr_get_monotonic_time                                                                                                                                                             -      -            
     0.00%             1  [.] hash_part                                                                                                                                                                           -      -            
     0.00%             1  [.] erts_call_dirty_nif                                                                                                                                                                 -      -            
     0.00%             1  [.] erts_poll_interrupt_flbk                                                                                                                                                            -      -            
     0.00%             1  [.] erts_poll_wait_flbk                                                                                                                                                                 -      -            
     0.00%             1  [.] ethr_atomic32_init                                                                                                                                                                  -      -            
     0.00%             1  [.] ethr_make_ts_event__                                                                                                                                                                -      -            
     0.00%             1  [.] thr_wrapper                                                                                                                                                                         -      -            


#
# (Tip: To see how parallelism changes over time, try: perf report -F time,latency,parallelism --time-quantum=1s)
#
