# perf report -i $SCRATCH/perf_bench2.data --stdio -n --no-children --sort=symbol --dsos=nif_pool.so 2>&1 | grep -E "^\s*[0-9]+\.[0-9]+%"
# perf report -i $SCRATCH/perf_bench2.data --stdio -n --no-children --sort=symbol --dsos=beam.smp 2>&1 | grep -E "^\s*[0-9]+\.[0-9]+%"
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cpu/cycles/P'
# Event count (approx.): 147839290519
#
# Overhead       Samples  Symbol                                                                                                                                                                                  IPC   [IPC Coverage]
# ........  ............  ......................................................................................................................................................................................  ....................
#
     0.10%            38  [.] erts_bs_append_checked                                                                                                                                                              -      -            
     0.10%            38  [.] erts_msgq_recv_marker_clear                                                                                                                                                         -      -            
     0.09%            34  [.] erts_check_io                                                                                                                                                                       -      -            
     0.09%            34  [.] esock_cnt_inc                                                                                                                                                                       -      -            
     0.09%            33  [.] mbc_realloc.constprop.0                                                                                                                                                             -      -            
     0.08%            33  [.] db_store_term                                                                                                                                                                       -      -            
     0.08%            30  [.] sweep_new_heap                                                                                                                                                                      -      -            
     0.08%            31  [.] esock_requestor_pop                                                                                                                                                                 -      -            
     0.08%            31  [.] erts_msgq_recv_marker_insert                                                                                                                                                        -      -            
     0.08%            30  [.] monotonic_time_1                                                                                                                                                                    -      -            
     0.08%            30  [.] erts_proc_sig_queue_flush_and_deinstall_buffers                                                                                                                                     -      -            
     0.07%            29  [.] realloc_thr_pref                                                                                                                                                                    -      -            
     0.07%            29  [.] erts_free_message_ref                                                                                                                                                               -      -            
     0.07%            28  [.] erts_new_binary                                                                                                                                                                     -      -            
     0.07%            29  [.] erts_alloc_handle_delayed_dealloc                                                                                                                                                   -      -            
     0.07%            29  [.] erts_handle_canceled_timers                                                                                                                                                         -      -            
     0.07%            28  [.] scheduled_tw_timer_destroy                                                                                                                                                          -      -            
     0.07%            28  [.] enif_make_atom                                                                                                                                                                      -      -            
     0.07%            28  [.] erts_proc_dec_refc                                                                                                                                                                  -      -            
     0.07%            28  [.] wakeup_other_check                                                                                                                                                                  -      -            
     0.07%            27  [.] erts_bs_get_binary_2                                                                                                                                                                -      -            
     0.07%            27  [.] erts_term_to_binary_simple                                                                                                                                                          -      -            
     0.07%            27  [.] erts_build_sub_bitstring                                                                                                                                                            -      -            
     0.07%            28  [.] check_pending_dealloc_carrier                                                                                                                                                       -      -            
     0.07%            27  [.] erts_alcu_free_thr_spec                                                                                                                                                             -      -            
     0.07%            26  [.] essio_send                                                                                                                                                                          -      -            
     0.07%            26  [.] fixed_apply                                                                                                                                                                         -      -            
     0.07%            26  [.] erts_poll_wait                                                                                                                                                                      -      -            
     0.07%            26  [.] erts_atom_get_name                                                                                                                                                                  -      -            
     0.06%            25  [.] enif_get_resource                                                                                                                                                                   -      -            
     0.06%            25  [.] beam_jit_bs_init_bits(process*, unsigned long*, erl_bits_state*, unsigned long, unsigned long, unsigned int)                                                                        -      -            
     0.06%            26  [.] unique_integer_1                                                                                                                                                                    -      -            
     0.06%            26  [.] get_os_corrected_time                                                                                                                                                               -      -            
     0.06%            24  [.] asmjit::v1_21::x86::Assembler::_emit(unsigned int, asmjit::v1_21::Operand_ const&, asmjit::v1_21::Operand_ const&, asmjit::v1_21::Operand_ const&, asmjit::v1_21::Operand_ const*)  -      -            
     0.06%            24  [.] essio_recv                                                                                                                                                                          -      -            
     0.06%            24  [.] erts_alloc_message_ref                                                                                                                                                              -      -            
     0.06%            24  [.] cq_check_incoming                                                                                                                                                                   -      -            
     0.06%            24  [.] get_free_block                                                                                                                                                                      -      -            
     0.06%            24  [.] thr_prgr_wakeup                                                                                                                                                                     -      -            
     0.06%            23  [.] erts_monitor_tree_foreach_delete_yielding                                                                                                                                           -      -            
     0.06%            24  [.] erts_twheel_cancel_timer                                                                                                                                                            -      -            
     0.06%            23  [.] do_erts_alcu_free                                                                                                                                                                   -      -            
     0.06%            23  [.] erts_msgq_recv_marker_set_save                                                                                                                                                      -      -            
     0.06%            23  [.] erts_alcu_alloc_thr_spec                                                                                                                                                            -      -            
     0.06%            27  [.] erts_thr_progress_finalize_wait                                                                                                                                                     -      -            
     0.06%            23  [.] prepare_select_msg                                                                                                                                                                  -      -            
     0.06%            22  [.] export_staged_cmp                                                                                                                                                                   -      -            
     0.06%            23  [.] erts_analyze_utf8                                                                                                                                                                   -      -            
     0.06%            22  [.] erts_io_handle_nif_select                                                                                                                                                           -      -            
     0.06%            22  [.] clock_gettime_monotonic                                                                                                                                                             -      -            
     0.06%            22  [.] nif_recv                                                                                                                                                                            -      -            
     0.06%            22  [.] erts_save_message_in_proc                                                                                                                                                           -      -            
     0.05%            21  [.] erts_msgq_remove_leading_recv_markers_set_save_first                                                                                                                                -      -            
     0.05%            20  [.] beam_jit_bs_put_binary_all(erl_bits_state*, process*, unsigned long)                                                                                                                -      -            
     0.05%            22  [.] erts_alloc_notify_delayed_dealloc                                                                                                                                                   -      -            
     0.05%            21  [.] erts_try_alloc_message_on_heap                                                                                                                                                      -      -            
     0.05%            22  [.] dealloc_block.part.0                                                                                                                                                                -      -            
     0.05%            21  [.] system_info_1                                                                                                                                                                       -      -            
     0.05%            18  [.] full_sweep_heaps.isra.0                                                                                                                                                             -      -            
     0.05%            21  [.] erts_thr_progress_wakeup                                                                                                                                                            -      -            
     0.05%            21  [.] enif_inspect_binary                                                                                                                                                                 -      -            
     0.05%            20  [.] haw_thr_prgr_soft_wakeup                                                                                                                                                            -      -            
     0.05%            20  [.] beam_jit_wait_timeout(process*, unsigned long, void const*)                                                                                                                         -      -            
     0.05%            20  [.] erts_utf8_to_list                                                                                                                                                                   -      -            
     0.05%            20  [.] erts_wrap_refc_bitstring                                                                                                                                                            -      -            
     0.05%            20  [.] erts_monitor_tree_lookup                                                                                                                                                            -      -            
     0.05%            20  [.] erts_get_scheduler_data                                                                                                                                                             -      -            
     0.05%            19  [.] erts_monitor_create                                                                                                                                                                 -      -            
     0.05%            19  [.] erts_proc_sys_schedule                                                                                                                                                              -      -            
     0.05%            19  [.] erts_cleanup_offheap_list                                                                                                                                                           -      -            
     0.05%            19  [.] enif_get_int                                                                                                                                                                        -      -            
     0.05%            19  [.] build_term_list                                                                                                                                                                     -      -            
     0.05%            19  [.] erts_deallocate_young_generation                                                                                                                                                    -      -            
     0.05%            18  [.] erts_proc_sig_queue_try_enqueue_to_buffer                                                                                                                                           -      -            
     0.05%            17  [.] erts_nif_get_module                                                                                                                                                                 -      -            
     0.05%            17  [.] erts_flush_trace_messages                                                                                                                                                           -      -            
     0.05%            18  [.] b2t_destroy_context                                                                                                                                                                 -      -            
     0.05%            17  [.] delete_process                                                                                                                                                                      -      -            
     0.04%            17  [.] erts_factory_proc_prealloc_init                                                                                                                                                     -      -            
     0.04%            18  [.] queue_messages.part.0                                                                                                                                                               -      -            
     0.04%            18  [.] erts_thr_progress_active                                                                                                                                                            -      -            
     0.04%            17  [.] erts_bs_put_binary_all                                                                                                                                                              -      -            
     0.04%            16  [.] db_free_term                                                                                                                                                                        -      -            
     0.04%            17  [.] ets_take_2                                                                                                                                                                          -      -            
     0.04%            16  [.] erts_poll_control                                                                                                                                                                   -      -            
     0.04%            17  [.] binary_to_term_1                                                                                                                                                                    -      -            
     0.04%            16  [.] erts_trapping_length_1                                                                                                                                                              -      -            
     0.04%            16  [.] link_free_block                                                                                                                                                                     -      -            
